,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
181,ULLANLINNA,60.1587146,24.949404,Paperikauppa Putinki,60.16232180389956,24.94649112224579,Paper / Office Supplies Store
182,ULLANLINNA,60.1587146,24.949404,Fredrik Stjernvallin puisto,60.15509838517919,24.944063858263906,Park
183,ULLANLINNA,60.1587146,24.949404,Eiranpuisto,60.15771368342535,24.940849630087392,Park
184,ULLANLINNA,60.1587146,24.949404,Skiffer Viiskulma,60.160469210006674,24.942037545531555,Bistro
185,ULLANLINNA,60.1587146,24.949404,Kaivopuiston koira-aitaus,60.15626701935474,24.951568693019365,Dog Run
186,ULLANLINNA,60.1587146,24.949404,Sea Horsen terassi,60.159245634439586,24.94702071668489,Beer Garden
187,ULLANLINNA,60.1587146,24.949404,La Tartufata,60.1580967551821,24.941998498682253,Café
188,ULLANLINNA,60.1587146,24.949404,Ullanlinnanmäki,60.155717673241746,24.955470887548973,Park
189,ULLANLINNA,60.1587146,24.949404,Leikkipaikka Meripuisto,60.15552119967952,24.947171023677466,Playground
190,ULLANLINNA,60.1587146,24.949404,Merisatamanranta,60.154711,24.946254,Waterfront
191,ULLANLINNA,60.1587146,24.949404,Cafe Compass,60.155130999973,24.95161447934584,Coffee Shop
192,ULLANLINNA,60.1587146,24.949404,Alfons' Pizza,60.159245,24.942413,Pizza Place
193,ULLANLINNA,60.1587146,24.949404,Sri Nakhon,60.159219,24.945221,Thai Restaurant
194,ULLANLINNA,60.1587146,24.949404,Ravintola Central,60.15715005170872,24.946471460755358,Restaurant
195,ULLANLINNA,60.1587146,24.949404,K-Market,60.159655920365125,24.955144771723635,Grocery Store
196,ULLANLINNA,60.1587146,24.949404,Kim's Tapas,60.16008682215011,24.948660605144685,Tapas Restaurant
197,ULLANLINNA,60.1587146,24.949404,Sokerileipuri Alenius,60.15584696361713,24.94997789724512,Dessert Shop
198,ULLANLINNA,60.1587146,24.949404,K-market Pietari,60.157613514966044,24.949571923914856,Grocery Store
199,ULLANLINNA,60.1587146,24.949404,Restaurant Amigo,60.158551537116224,24.949392036594528,Spanish Restaurant
200,ULLANLINNA,60.1587146,24.949404,The Old Skiffer,60.16062692188821,24.94172215461731,Cocktail Bar
201,ULLANLINNA,60.1587146,24.949404,Alko,60.159280017648086,24.943831430679086,Liquor Store
202,ULLANLINNA,60.1587146,24.949404,Helsingin observatorio,60.16221919747696,24.95154096647828,College Science Building
203,ULLANLINNA,60.1587146,24.949404,Kaivopuiston apteekki,60.15811,24.94873,Pharmacy
204,ULLANLINNA,60.1587146,24.949404,Digelius Music,60.16096857442981,24.941971600055695,Record Shop
205,ULLANLINNA,60.1587146,24.949404,Pizzeria Sopranos,60.15709256020915,24.946016040844455,Pizza Place
206,ULLANLINNA,60.1587146,24.949404,Kapteeninpuistikko,60.15809538308519,24.945343485760187,Park
207,ULLANLINNA,60.1587146,24.949404,Laivurin Valinta,60.158073276307476,24.941380180257934,Grocery Store
208,ULLANLINNA,60.1587146,24.949404,Kaivohuone,60.1574453454861,24.956021703089696,Nightclub
209,ULLANLINNA,60.1587146,24.949404,Alepa,60.157302628535554,24.947473509761362,Grocery Store
210,ULLANLINNA,60.1587146,24.949404,HSL 0438/0439 Neitsytpolku,60.15837560637731,24.949204247876285,Tram Station
211,ULLANLINNA,60.1587146,24.949404,Moola,60.159060614195596,24.953509139513482,Yoga Studio
212,ULLANLINNA,60.1587146,24.949404,Kompassitori,60.15525627097207,24.950700066921584,Plaza
213,ULLANLINNA,60.1587146,24.949404,Armi Ratian puisto,60.16025323535413,24.957064390182495,Park
214,ULLANLINNA,60.1587146,24.949404,Kaivopuiston tähtitorni,60.15548835959859,24.955433607101437,Scenic Lookout
215,KARHUSAARI,60.251098999999996,25.21848,HSL 5086 Merikapteenintie,60.24997,25.21957,Bus Stop
216,KARHUSAARI,60.251098999999996,25.21848,HSL 5084 Reelinki,60.25027,25.21446,Bus Stop
217,KARHUSAARI,60.251098999999996,25.21848,Fort Blässsr,60.24732753571098,25.218673920787054,Lounge
218,KARHUSAARI,60.251098999999996,25.21848,Sofien Top Chef Keittiö,60.249721,25.209923,Asian Restaurant
219,RUSKEASUO,60.20480260000001,24.9056207,Gurans,60.20300543404889,24.89864280841107,Himalayan Restaurant
220,RUSKEASUO,60.20480260000001,24.9056207,Arena Center,60.20627090332832,24.90164999563218,Recreation Center
221,RUSKEASUO,60.20480260000001,24.9056207,Tenholantien ulkokuntoilupiste,60.203823,24.908647,Gym
222,RUSKEASUO,60.20480260000001,24.9056207,P. Palace - European HQ,60.20319166932336,24.902742163344698,Spa
223,RUSKEASUO,60.20480260000001,24.9056207,Kahvio,60.20639930904649,24.901788336116716,Café
224,RUSKEASUO,60.20480260000001,24.9056207,HSL 2086 Kivihaka,60.20801442,24.90575948,Bus Stop
225,RUSKEASUO,60.20480260000001,24.9056207,HSL 1931 Ruskeasuo,60.20406205845599,24.899176687008072,Bus Stop
226,RUSKEASUO,60.20480260000001,24.9056207,Pasilan viljelypalstat,60.20445755774937,24.912985341655666,Garden
227,RUSKEASUO,60.20480260000001,24.9056207,Ruskeasuon jousiammuntakenttä,60.202524237990914,24.911494516667098,Sports Club
228,RUSKEASUO,60.20480260000001,24.9056207,HSL 1928 Ruskeasuo,60.20259319557489,24.899041234621414,Bus Stop
229,RUSKEASUO,60.20480260000001,24.9056207,HSL 1932 Ruskeasuon varikko,60.20708883759035,24.8989161157258,Bus Stop
230,RUSKEASUO,60.20480260000001,24.9056207,Pikku-Huopalahden Sivuapteekki,60.203376,24.897577858222967,Pharmacy
231,PAKILA,60.243545,24.939963100000003,HSL 2304 Sysimiehentie,60.243357290651545,24.94489903358054,Bus Stop
232,PAKILA,60.243545,24.939963100000003,HSL 2305 Sysimiehentie,60.24453432182577,24.947354759350922,Bus Stop
233,PAKILA,60.243545,24.939963100000003,HSL 2444 Muurimestarintie,60.2445799270138,24.947420839942247,Bus Stop
234,PAKILA,60.243545,24.939963100000003,HSL H2272 Jakokunnantie,60.23970177424923,24.94317246766007,Bus Stop
235,MELLUNKYLÄ,60.23596475,25.0892178510239,Helmi Grilli,60.236503662841976,25.084229692520786,Restaurant
236,MELLUNKYLÄ,60.23596475,25.0892178510239,Sagun Nepal,60.236195980534134,25.08454461975273,Himalayan Restaurant
237,MELLUNKYLÄ,60.23596475,25.0892178510239,Kontulan skeittihalli,60.23647984700654,25.085932996046743,Skate Park
238,MELLUNKYLÄ,60.23596475,25.0892178510239,Shishkebab.fi,60.23654282532772,25.082318857312202,Falafel Restaurant
239,MELLUNKYLÄ,60.23596475,25.0892178510239,Ravintola Nuur,60.238306,25.083837,Middle Eastern Restaurant
240,MELLUNKYLÄ,60.23596475,25.0892178510239,Kontulan Pizza & Kebab,60.23682698960046,25.08214257765274,Pizza Place
241,MELLUNKYLÄ,60.23596475,25.0892178510239,Momo Sushi,60.236796808595315,25.084855556488037,Sushi Restaurant
242,MELLUNKYLÄ,60.23596475,25.0892178510239,Alko,60.23734512376948,25.083508147027974,Liquor Store
243,MELLUNKYLÄ,60.23596475,25.0892178510239,Subway,60.23637233920985,25.084624895850023,Sandwich Place
